scenario_id,strategy,fact_inclusion,tone_alignment,professional_conciseness,mean
01,advanced,1.0,1.0,0.7151,0.905
02,advanced,0.75,1.0,0.9532,0.9011
03,advanced,0.75,1.0,0.8839,0.878
04,advanced,1.0,0.7,0.9143,0.8714
05,advanced,1.0,1.0,0.8345,0.9448
06,advanced,1.0,0.7,0.7333,0.8111
07,advanced,1.0,1.0,0.8684,0.9561
08,advanced,1.0,0.7,0.7926,0.8309
09,advanced,1.0,0.7,0.6714,0.7905
10,advanced,1.0,0.7,0.9838,0.8946
01,naive,0.75,1.0,0.6462,0.7987
02,naive,0.5,1.0,0.6091,0.703
03,naive,1.0,1.0,0.5043,0.8348
04,naive,1.0,0.7,0.5743,0.7581
05,naive,1.0,1.0,0.6,0.8667
06,naive,0.75,1.0,0.5,0.75
07,naive,0.75,1.0,0.6316,0.7939
08,naive,1.0,0.7,0.6593,0.7864
09,naive,0.75,0.9,0.5,0.7167
10,naive,1.0,0.7,0.9243,0.8748
